---------------------------------------|---------|----------|---------|---------|-------------------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
---------------------------------------|---------|----------|---------|---------|-------------------------------
All files                              |   91.97 |    79.93 |      92 |   91.97 | 
 guerras_secretas                      |     100 |    44.44 |     100 |     100 | 
  config.ts                            |     100 |        0 |     100 |     100 | 5-10
  redisConfig.ts                       |     100 |      100 |     100 |     100 | 
  routes.ts                            |     100 |      100 |     100 |     100 | 
 guerras_secretas/src/adapter          |   68.82 |    45.94 |   65.21 |   68.82 | 
  character.adapter.ts                 |   65.95 |       40 |   66.66 |   65.95 | 11-26
  comic-date.adapter.ts                |   57.14 |      100 |       0 |   57.14 | 8-13
  comic-price.adapter.ts               |   57.14 |      100 |       0 |   57.14 | 8-13
  comic-text.adapter.ts                |   53.33 |      100 |       0 |   53.33 | 8-14
  comic.adapter.ts                     |   59.81 |       50 |      75 |   59.81 | 21-61,67-68
  creator.adapter.ts                   |   63.63 |       40 |   66.66 |   63.63 | 11-30
  event.adapter.ts                     |   64.81 |       40 |   66.66 |   64.81 | 11-29
  image.adapter.ts                     |     100 |      100 |     100 |     100 | 
  serie.adapter.ts                     |     100 |    42.85 |     100 |     100 | 12,34-36
  storie.adapter.ts                    |    64.7 |       40 |   66.66 |    64.7 | 11-28
 guerras_secretas/src/controller       |   90.05 |      100 |   83.33 |   90.05 |                               
  character.controller.ts              |   68.42 |      100 |      50 |   68.42 | 17-22,25-30
  comic.controller.ts                  |     100 |      100 |     100 |     100 | 
  creator.controller.ts                |   68.18 |      100 |      50 |   68.18 | 15-21
  crud.controller.ts                   |     100 |      100 |     100 |     100 | 
  populate.controller.ts               |     100 |      100 |     100 |     100 | 
  user.controller.ts                   |     100 |      100 |     100 |     100 | 
 guerras_secretas/src/dto              |     100 |      100 |     100 |     100 | 
  auth.user.dto.ts                     |     100 |      100 |     100 |     100 | 
  create.character.dto.ts              |     100 |      100 |     100 |     100 | 
  create.creator.dto.ts                |     100 |      100 |     100 |     100 | 
 guerras_secretas/src/enums            |     100 |      100 |     100 |     100 | 
  status.code.ts                       |     100 |      100 |     100 |     100 | 
 guerras_secretas/src/handlers         |   93.69 |    71.42 |     100 |   93.69 | 
  save-character.handler.ts            |    93.1 |    71.42 |     100 |    93.1 | 36-39
  save-comic.handler.ts                |   93.22 |    71.42 |     100 |   93.22 | 36-39
  save-creator.handler.ts              |    93.1 |    71.42 |     100 |    93.1 | 37-40
  save-event.handler.ts                |   96.55 |    71.42 |     100 |   96.55 | 34-35
  save-serie.handler.ts                |    93.1 |    71.42 |     100 |    93.1 | 36-39
  save-storie.handler.ts               |    93.1 |    71.42 |     100 |    93.1 | 36-39                         
